anfitriao_id,anf_data_cadastro,id_anuncio,nome_anuncio,bairro,tipo_propriedade,tipo_acomodacao,numero_hospedes,quartos,camas,preco,min_noites,max_noites,disponivel,numero_avaliaçoes,pontuacao_avaliacoes,confirmacao_instantanea
55003302,2016-01-17,10651267,Mansão Barra da Tijuca,Barra da Tijuca,Entire residential home,Entire home/apt,12,5.0,8.0,4334.0,20,1125,t,0,,f
55042735,2016-01-17,10657562,"BELA VISTA DA PRAIA! ☀️ Férias 🏖, Teletrabalho 💻⛱🌴⛵️",Copacabana,Entire rental unit,Entire home/apt,6,1.0,6.0,342.0,3,1125,t,94,4.9,t
54817682,2016-01-16,10657829,"Lovely 2 bdrms in Rio, Ipanema",Ipanema,Entire rental unit,Entire home/apt,5,2.0,5.0,600.0,2,1125,t,4,5.0,f
55087865,2016-01-18,10664808,Apartamento Copacabana Santa Clara,Copacabana,Entire condominium (condo),Entire home/apt,4,1.0,2.0,695.0,7,1125,t,0,,f
55137693,2016-01-18,10674261,Quarto para meninas ou amigas Para Réveillon 2020,Copacabana,Private room in rental unit,Private room,4,1.0,1.0,500.0,2,1125,t,0,,f
55142723,2016-01-18,10675163,Apartamento Copacabana  Rio BR,Copacabana,Entire rental unit,Entire home/apt,4,1.0,4.0,268.0,4,1125,t,1,0.0,f
55039030,2016-01-17,10681037,Olympic Games Rio 2016 - Apartment Barra,Jacarepaguá,Entire rental unit,Entire home/apt,5,2.0,3.0,1000.0,7,1125,t,0,,t
55114814,2016-01-18,10700032,Quarto aconchegante em copacabana,Copacabana,Private room in rental unit,Private room,2,1.0,1.0,1329.0,3,20,t,0,,f
55011592,2016-01-17,10719934,Excelente apartamen olimpíedas 2016,Jacarepaguá,Entire rental unit,Entire home/apt,4,2.0,4.0,1302.0,5,120,t,0,,f
55406034,2016-01-20,10720790,Studio in Copa com vista para o mar,Copacabana,Entire rental unit,Entire home/apt,4,,2.0,190.0,2,1125,t,50,4.8,f
55422323,2016-01-20,10723925,Casa equipada com transporte,Recreio dos Bandeirantes,Entire residential home,Entire home/apt,8,3.0,4.0,3003.0,3,90,t,0,,t
55451495,2016-01-20,10728624,Belissimo apartamento 3 quartos Copacabana/Ipanema,Copacabana,Entire rental unit,Entire home/apt,6,3.0,3.0,750.0,7,30,t,5,4.0,f
54309306,2016-01-12,10728663,Studio in the best location of Copa,Copacabana,Entire rental unit,Entire home/apt,4,1.0,2.0,191.0,2,45,t,197,4.76,t
55469839,2016-01-20,10731488,ToTAl infraestrutura ! Great Place!,Barra da Tijuca,Entire rental unit,Entire home/apt,5,1.0,2.0,2164.0,1,5,t,0,,f
55482273,2016-01-20,10733116,Great House with 4 bedrooms and garage,Barra da Tijuca,Entire residential home,Entire home/apt,9,4.0,6.0,1600.0,5,30,t,2,4.5,f
55317236,2016-01-19,10739905,45 Seconds to Copacabana Beach,Copacabana,Entire rental unit,Entire home/apt,4,1.0,2.0,803.0,2,1125,t,1,5.0,f
55522534,2016-01-21,10740658,Apartamento na Barra da Tijuca,Barra da Tijuca,Private room in rental unit,Private room,4,2.0,0.0,750.0,1,1125,t,0,,f
55522534,2016-01-21,10740691,Apartamento na Barra da Tijuca,Barra da Tijuca,Private room in rental unit,Private room,4,2.0,2.0,750.0,1,1125,t,0,,f
55650387,2016-01-22,10761293,Walking Distance to Olympic Center,Jacarepaguá,Entire rental unit,Entire home/apt,4,2.0,3.0,1515.0,5,1125,t,1,5.0,t
55675361,2016-01-22,10765353,APTO DE ALTO PADRÃO,Copacabana,Private room in rental unit,Private room,10,3.0,10.0,671.0,31,1125,t,0,,t
54249603,2016-01-11,10766617,Tranquilo e Charmoso Apartamento,Copacabana,Entire rental unit,Entire home/apt,6,3.0,6.0,348.0,3,60,t,145,4.97,f
55708851,2016-01-22,10770906,Copacabana beach windows :),Copacabana,Entire rental unit,Entire home/apt,6,2.0,4.0,344.0,3,365,t,61,4.8,t
55716143,2016-01-22,10771937,Bedroom Ipanema 1 - Cama de casal,Ipanema,Private room in rental unit,Private room,2,1.0,1.0,243.0,1,30,t,68,4.84,f
55801728,2016-01-23,10785621,Apartamento Rio de Janeiro - Barra,Barra da Tijuca,Entire residential home,Entire home/apt,5,2.0,2.0,1000.0,10,10,t,0,,f
55808304,2016-01-23,10786706,Duplex by the sea.,Recreio dos Bandeirantes,Entire condominium (condo),Entire home/apt,10,5.0,7.0,900.0,3,1125,t,7,5.0,f
55910718,2016-01-24,10801801,Cobertura Duplex Alto Luxo 850m2 Copacabana,Copacabana,Entire rental unit,Entire home/apt,10,5.0,7.0,3900.0,3,1125,t,0,,f
55952400,2016-01-24,10808809,Cozy double room Ipanema &lt;3,Ipanema,Private room in rental unit,Private room,2,1.0,1.0,200.0,1,1125,t,9,4.75,f
55965707,2016-01-24,10810351,"Copacabana Beach, a step to the beach!",Copacabana,Entire condominium (condo),Entire home/apt,3,1.0,1.0,369.0,2,1125,t,15,4.53,f
55952400,2016-01-24,10810702,Serenité single room Ipanema,Ipanema,Private room in serviced apartment,Private room,1,1.0,1.0,180.0,1,1125,t,10,4.3,f
56033388,2016-01-25,10822814,RESORT 2 BEDROOM APARTMENT,Jacarepaguá,Entire rental unit,Entire home/apt,4,2.0,2.0,700.0,5,1125,t,0,,f
56094640,2016-01-25,10832579,Penthouse-Barra da Tijuca-1 bedroom-2 beds,Barra da Tijuca,Shared room in rental unit,Shared room,6,1.0,6.0,379.0,2,20,t,1,5.0,f
56115615,2016-01-25,10836394,IPANEMA VISTA MAR.,Ipanema,Entire rental unit,Entire home/apt,4,2.0,2.0,254.0,2,30,t,129,4.94,t
56114366,2016-01-25,10836724,Mansion near from the Olimpic Park,Barra da Tijuca,Entire residential home,Entire home/apt,10,4.0,7.0,4340.0,15,30,t,0,,f
56120053,2016-01-25,10836792,Fácil acesso a belas praias e Pq. Olímpico!,Recreio dos Bandeirantes,Entire condominium (condo),Entire home/apt,4,2.0,3.0,300.0,1,1125,t,3,4.67,f
55967560,2016-01-24,10837667,Amazing View & Charm -Ipanema Beach,Ipanema,Entire rental unit,Entire home/apt,7,3.0,7.0,2470.0,12,1125,t,1,5.0,f
56178362,2016-01-26,10846773,Front beach close to olympic games,Barra da Tijuca,Entire rental unit,Entire home/apt,7,3.0,4.0,1350.0,7,1125,t,1,5.0,f
56182400,2016-01-26,10847371,Ótimo Apto próximo a Praia e Metro,Barra da Tijuca,Entire rental unit,Entire home/apt,5,3.0,4.0,690.0,4,1125,t,5,5.0,t
56259668,2016-01-26,10861088,Club Pontal Vargem Grande,Recreio dos Bandeirantes,Entire rental unit,Entire home/apt,16,15.0,35.0,53.0,1,90,t,5,3.5,f
56320544,2016-01-27,10871295,otima acomodação com privacidade.,Recreio dos Bandeirantes,Private room in residential home,Private room,2,1.0,1.0,1124.0,3,1125,t,0,,f
56328966,2016-01-27,10872696,Apartment on COPACABANA Beach,Copacabana,Entire rental unit,Entire home/apt,6,2.0,4.0,250.0,2,1125,t,41,4.76,f
54644119,2016-01-14,10872892,Aluguel para Olimpíadas Rio2016,Jacarepaguá,Entire rental unit,Entire home/apt,4,2.0,4.0,1000.0,10,30,t,0,,f
56337810,2016-01-27,10874289,100 mts Praia/Metrô. Charmoso Apto. - Copacabana,Copacabana,Entire rental unit,Entire home/apt,5,1.0,7.0,189.0,3,900,t,16,4.63,f
53086507,2016-01-02,10879646,Oasis at lively Arpoador/Ipanema,Ipanema,Private room in rental unit,Private room,2,1.0,2.0,250.0,3,6,t,4,5.0,f
56384171,2016-01-27,10882307,Excelente Apartamento 2 Quartos,Recreio dos Bandeirantes,Entire rental unit,Entire home/apt,4,2.0,4.0,1893.0,2,1125,t,0,,t
56391773,2016-01-27,10883516,VISTA FRONTAL MAR E LAGOA DA BARRA,Barra da Tijuca,Entire rental unit,Entire home/apt,4,2.0,4.0,800.0,3,120,t,0,,f
56451628,2016-01-28,10893992,COPACABANA near beach great location,Copacabana,Entire condominium (condo),Entire home/apt,4,1.0,3.0,145.0,3,60,t,291,4.92,t
56467953,2016-01-28,10896807,Charming room/silent in Copacabana,Copacabana,Private room in rental unit,Private room,2,1.0,2.0,294.0,1,30,t,11,4.91,f
56464577,2016-01-28,10897082,Double room in Copacabana New Year's and Carnival.,Copacabana,Private room in rental unit,Private room,2,1.0,1.0,305.0,5,90,t,6,4.5,f
56484944,2016-01-28,10899460,Flat com cozinha no Leme (Copacabana),Copacabana,Entire serviced apartment,Entire home/apt,4,1.0,2.0,295.0,2,1125,t,7,4.57,f
56489176,2016-01-28,10900300,Great Apt In The Heart Of Ipanema ★Best Experience,Ipanema,Entire rental unit,Entire home/apt,10,3.0,6.0,227.0,1,1125,t,165,4.55,t
56488336,2016-01-28,10902059,Loft Perfeito no Posto 4,Copacabana,Entire loft,Entire home/apt,4,1.0,4.0,221.0,3,1125,t,4,5.0,f
56542528,2016-01-28,10909248,Ipanema Cozy and bright apartment,Ipanema,Entire rental unit,Entire home/apt,4,1.0,1.0,255.0,3,89,t,25,4.63,f
56320690,2016-01-27,10909621,Charm right next to the beach.,Copacabana,Entire rental unit,Entire home/apt,4,1.0,2.0,179.0,2,1125,t,117,4.81,f
56640976,2016-01-29,10924289,Ap na Barra da Tijuca próximo do Rio Centro.,Jacarepaguá,Entire condominium (condo),Entire home/apt,6,2.0,5.0,160.0,2,1125,t,95,4.61,t
55909398,2016-01-24,10929565,COPACABANA - STUDIO - POSTO 5,Copacabana,Entire rental unit,Entire home/apt,2,1.0,1.0,199.0,15,1125,t,1,3.0,f
56895833,2016-01-31,10967531,Luxury House in Condominium 5suites,Barra da Tijuca,Entire residential home,Entire home/apt,10,5.0,7.0,6000.0,4,1125,t,0,,f
56950050,2016-02-01,10976619,Rio de Janeiro Olympics Games 2016,Jacarepaguá,Entire rental unit,Entire home/apt,4,2.0,3.0,1244.0,3,1125,t,0,,t
56964631,2016-02-01,10979440,BARRA DA TIJUCA BEACH,Barra da Tijuca,Entire rental unit,Entire home/apt,3,1.0,2.0,229.0,2,30,t,194,4.97,f
56967708,2016-02-01,10980220,apartamento mobilhado em copacabana,Copacabana,Entire rental unit,Entire home/apt,4,1.0,2.0,1352.0,3,8,t,0,,f
56980458,2016-02-01,10982624,Férias - Residencial Resort na Barra - 4 quartos,Jacarepaguá,Entire condominium (condo),Entire home/apt,9,4.0,5.0,1125.0,5,29,t,5,5.0,f
56984751,2016-02-01,10983411,Apartamento Recreio-03 Qts com 134m,Recreio dos Bandeirantes,Entire rental unit,Entire home/apt,10,3.0,3.0,1000.0,30,1125,t,0,,f
56179426,2016-01-26,10983906,Pontal Beach - Oceanview,Recreio dos Bandeirantes,Entire rental unit,Entire home/apt,4,1.0,2.0,323.0,2,1125,t,81,4.76,f
56464577,2016-01-28,10984513,COPACABANA NEAR BEACH BEST SAFE AREA DBLE ROOM,Copacabana,Private room in rental unit,Private room,2,1.0,1.0,305.0,5,90,t,0,,f
56974096,2016-02-01,10984938,Olympic Games -   Barra da Tijuca,Barra da Tijuca,Entire rental unit,Entire home/apt,4,2.0,4.0,1250.0,7,60,t,0,,f
57019731,2016-02-01,10989365,"Ocean view, secure & convenient",Barra da Tijuca,Entire rental unit,Entire home/apt,6,2.0,3.0,243.0,3,90,t,2,3.5,t
56952947,2016-02-01,10990927,Apartamento na praia,Recreio dos Bandeirantes,Private room in rental unit,Private room,2,1.0,1.0,541.0,2,15,t,0,,t
53542976,2016-01-06,10991484,"Rio 2016 Olympics, best option - Ipanema.",Ipanema,Private room in rental unit,Private room,3,1.0,2.0,107.0,1,7,t,123,4.89,f
57039011,2016-02-01,10992808,Barra da Tijuca Very Exclusive Executive Penthouse,Barra da Tijuca,Entire rental unit,Entire home/apt,6,4.0,6.0,920.0,180,1125,t,0,,f
57040036,2016-02-01,10992904,Golden Green apartamento  na Barra,Barra da Tijuca,Entire rental unit,Entire home/apt,8,3.0,7.0,2705.0,3,1125,t,0,,f
56464577,2016-01-28,11001037,Luxurious room 300 mt from Copacabana Beach Rio,Copacabana,Private room in rental unit,Private room,2,1.0,1.0,305.0,5,90,t,2,4.0,f
56464577,2016-01-28,11001331,Luxurious double room 300m  Copacabana beach Rio,Copacabana,Private room in rental unit,Private room,2,1.0,1.0,305.0,5,90,t,2,3.0,t
57101510,2016-02-02,11003989,CLEAN COPACABANA APARTMENT,Copacabana,Entire rental unit,Entire home/apt,4,1.0,2.0,220.0,2,90,t,0,,f
57113268,2016-02-02,11006250,Apartamento 2 Suites junto da Barra,Jacarepaguá,Entire rental unit,Entire home/apt,6,2.0,2.0,1356.0,3,1125,t,0,,f
57114081,2016-02-02,11006835,Economical Fit Copacabana,Copacabana,Entire rental unit,Entire home/apt,4,1.0,1.0,105.0,1,30,t,71,4.41,t
57044703,2016-02-01,11011200,Copa-BOM PREÇO.PERTO praia.EXC. local.Linda vista,Copacabana,Entire rental unit,Entire home/apt,2,1.0,1.0,123.0,2,60,t,140,4.85,t
57146487,2016-02-02,11013129,casa barra da tijuca com piscina,Barra da Tijuca,Private room in residential home,Private room,10,1.0,4.0,3246.0,20,90,t,0,,f
55716143,2016-01-22,11017575,Bedroom Ipanema 3 -Cama de Casal,Ipanema,Private room in rental unit,Private room,2,1.0,1.0,243.0,1,31,t,41,4.59,f
57222597,2016-02-03,11027721,Olimpiadas 2016 /Rent for Olympics,Recreio dos Bandeirantes,Entire rental unit,Entire home/apt,5,2.0,3.0,1352.0,1,1125,t,0,,f
57228415,2016-02-03,11028481,Apartment in Ipanema,Ipanema,Entire rental unit,Entire home/apt,4,2.0,2.0,338.0,3,50,t,53,4.79,f
57240521,2016-02-03,11030493,Temporada - Copacabana posto 6,Copacabana,Entire rental unit,Entire home/apt,4,2.0,3.0,800.0,10,1125,t,0,,f
57247517,2016-02-03,11031580,Barra da Tijuca - The most beautiful beach in Rio,Barra da Tijuca,Shared room in rental unit,Shared room,2,1.0,1.0,514.0,1,1125,t,7,4.86,f
