anfitriao_id,anf_data_cadastro,id_anuncio,nome_anuncio,bairro,tipo_propriedade,tipo_acomodacao,numero_hospedes,quartos,camas,preco,min_noites,max_noites,disponivel,numero_avaliaçoes,pontuacao_avaliacoes,confirmacao_instantanea
3413189,2012-08-29,6411684,Tiffany's Ipanema Oceanview,Ipanema,Entire serviced apartment,Entire home/apt,4,2.0,2.0,1461.0,7,1125,t,0,,f
32368346,2015-05-01,6413568,COUPLE ROOM AT COPACABANA  /TWIN BEDS  SUITE,Copacabana,Private room in rental unit,Private room,2,1.0,2.0,200.0,3,15,t,6,4.67,f
33588071,2015-05-17,6434655,"Copacabana, close to the beach",Copacabana,Entire rental unit,Entire home/apt,2,1.0,1.0,120.0,3,10,t,176,4.82,f
33598709,2015-05-17,6436269,Copacabana 2 quadras da praia,Copacabana,Entire rental unit,Entire home/apt,4,1.0,2.0,136.0,2,1124,t,83,4.8,t
33701230,2015-05-19,6453494,COPACABANA APARTMENT (4br+2bt) - Subway Cantagalo,Copacabana,Entire rental unit,Entire home/apt,12,4.0,7.0,273.0,5,190,t,98,4.74,t
15133857,2014-05-05,6464482,Flat Frontal Mar Pé na areia,Recreio dos Bandeirantes,Entire rental unit,Entire home/apt,4,1.0,1.0,276.0,3,30,t,86,4.95,f
13127599,2014-03-14,6466298,Nice studio next Copacabana beach,Copacabana,Entire rental unit,Entire home/apt,4,,3.0,180.0,2,1125,t,44,4.98,t
24954403,2014-12-17,6474496,Copacabana  !! rua da praia!!,Copacabana,Entire rental unit,Entire home/apt,6,2.0,0.0,600.0,3,1125,t,0,,f
15637811,2014-05-17,6476678,Imóvel para primeira locação.,Ipanema,Entire rental unit,Entire home/apt,6,3.0,1.0,643.0,90,913,t,0,,f
21295451,2014-09-13,6504636,Luxuoso apart beira mar/copacabana,Copacabana,Entire rental unit,Entire home/apt,7,3.0,3.0,450.0,3,1125,t,6,4.8,f
3582733,2012-09-16,6528485,"Brand New Studio - Beach, WiFi",Copacabana,Entire rental unit,Entire home/apt,3,1.0,1.0,104.0,3,30,t,91,4.73,f
34205594,2015-05-25,6540449,Apt Barra da Tijuca com vista,Barra da Tijuca,Entire rental unit,Entire home/apt,4,2.0,3.0,1000.0,2,1125,t,0,,f
12183437,2014-02-12,6551488,Ipanema 01 quarto 66m2,Ipanema,Entire rental unit,Entire home/apt,2,1.0,1.0,255.0,3,60,t,15,4.8,f
532498,2011-04-24,6554385,FLAT GAL OSORIO METRO IPANEMA,Ipanema,Entire rental unit,Entire home/apt,5,2.0,3.0,500.0,2,1125,t,4,3.75,f
8975746,2013-09-21,6566211,CLASSIC & SPACIOUS OCEAN VIEW 3 BDR,Copacabana,Entire rental unit,Entire home/apt,8,3.0,5.0,885.0,2,90,t,1,0.0,f
34373427,2015-05-27,6572057,RECREIO - Suite externa na piscina,Recreio dos Bandeirantes,Private room in guest suite,Private room,2,1.0,1.0,350.0,2,1125,t,3,5.0,f
29732847,2015-03-21,6573957,Ipanema Loaded 2 Bedroom 2 Bath Apt,Ipanema,Entire rental unit,Entire home/apt,5,2.0,3.0,219.0,4,1125,t,86,4.78,f
