anfitriao_id,anfitriao_nome,anf_data_cadastro,anf_tempo_resposta,anf_taxa_resposta,anf_taxa_aceitacao,super_anfitriao,anf_bairro,anf_num_total_anuncios,anf_foto_perfil,anf_identidade_verificada
1423140,Maria,2011-11-19,within a day,75%,25%,f,Vidigal,1.0,t,f
7506316,Vitor,2013-07-15,,,,f,,1.0,t,f
1426830,Neyde,2011-11-20,within a few hours,83%,100%,t,Copacabana,3.0,t,t
533566,Lucas,2011-04-25,,,,f,Leblon,1.0,t,f
625565,Kakau,2011-05-25,within a day,60%,57%,f,Jardin Botânico,1.0,t,f
4022675,Thea & Gui,2012-10-31,within a day,90%,57%,f,Leblon,1.0,t,t
1433502,Norberto,2011-11-22,within an hour,100%,100%,t,Santa Teresa,2.0,t,t
1137583,Clara & Francisco,2011-09-10,a few days or more,13%,0%,f,Ipanema,1.0,t,t
1435630,Arilson,2011-11-23,,,,f,Centro,1.0,t,t
1446638,Daniel & Raquel,2011-11-27,within an hour,100%,,f,Ipanema,2.0,t,t
72111,David,2010-01-20,,,,f,São Conrado,1.0,t,t
449677,Renato / Louri,2011-03-18,within an hour,100%,86%,t,Copacabana,13.0,t,t
1464031,Erika,2011-12-02,,,,f,Santa Teresa,4.0,t,t
1116738,Nilda,2011-09-06,,,,f,Lagoa,3.0,t,t
1470188,Jaqueline,2011-12-04,a few days or more,0%,,f,Flamengo,2.0,t,f
1408960,Celina,2011-11-15,within a few hours,100%,33%,f,Copacabana,4.0,t,t
1381764,Cavi Rio - Fabio,2011-11-07,within an hour,100%,99%,f,Copacabana,100.0,t,t
1429181,Samuel,2011-11-21,within an hour,97%,71%,f,Copacabana,10.0,t,t
1500426,Rio,2011-12-13,within a few hours,94%,9%,f,Copacabana,53.0,t,t
402478,Sascha,2011-02-21,within a day,100%,,f,Copacabana,2.0,t,t
1511425,Renata,2011-12-16,,,,f,Copacabana,2.0,t,t
1526160,Mariana,2011-12-21,a few days or more,40%,29%,f,Laranjeiras,2.0,t,t
1527388,Ana,2011-12-22,within a day,100%,,t,Laranjeiras,1.0,t,t
690494,Eduardo & Raimundo,2011-06-11,within an hour,100%,100%,t,Lapa,1.0,t,t
1543711,Ezio,2011-12-28,,,,f,Santa Teresa,2.0,t,t
1574255,Claudio,2012-01-06,within an hour,100%,87%,f,Copacabana,2.0,t,t
1583161,Vanessa,2012-01-08,,,,f,Ipanema,1.0,t,f
1595467,Dennis,2012-01-11,,,,f,Copacabana,1.0,t,f
1603206,Bob,2012-01-13,within an hour,100%,98%,f,Copacabana,9.0,t,t
1603013,Giane,2012-01-13,within an hour,100%,,f,Ipanema,2.0,t,t
1451937,Marcelo,2011-11-28,,,,f,,1.0,t,f
1617355,Claudio,2012-01-17,,,,f,Leblon,1.0,t,f
1618278,Andy,2012-01-17,within an hour,100%,71%,t,Ipanema,2.0,t,t
1618486,Denise,2012-01-17,,,0%,f,Ipanema,2.0,t,t
1624674,Paula,2012-01-19,a few days or more,0%,0%,f,Leblon,3.0,t,t
1626226,Luiz,2012-01-19,within an hour,100%,100%,f,Botafogo,1.0,t,t
1635489,Riyad,2012-01-21,,,,f,Copacabana,2.0,t,t
1641925,Charles,2012-01-23,,,,f,Botafogo,4.0,t,f
1572599,Marilia,2012-01-06,within an hour,100%,98%,t,Santa Teresa,3.0,t,t
1648634,Jose,2012-01-24,,,,t,Ipanema,8.0,t,t
1659441,Valéria,2012-01-27,within an hour,100%,69%,t,Copacabana,1.0,t,t
1622624,Edwin,2012-01-18,,,,f,,1.0,t,f
1668565,Maria José,2012-01-29,within a few hours,90%,61%,f,Copacabana,4.0,t,t
1673501,Josy,2012-01-30,within a day,64%,100%,f,Santa Teresa,5.0,t,t
1675497,Priscila,2012-01-30,,,,f,Santa Teresa,1.0,t,f
1678723,Cibele,2012-01-31,a few days or more,0%,,f,,1.0,t,f
1416853,Maria,2011-11-17,,,,f,Jardin Botânico,1.0,t,f
1683850,Giselle & Jorge,2012-02-01,,,,f,,1.0,t,f
530231,Yaya,2011-04-23,within an hour,100%,87%,f,Leblon,3.0,t,t
1689028,Leo,2012-02-02,,,,f,Botafogo,2.0,t,t
1698297,Rodrigo,2012-02-04,,,,f,Copacabana,1.0,t,t
1712679,Ana Amelia,2012-02-07,within a day,70%,45%,f,Botafogo,2.0,t,t
1714680,Katiuscia,2012-02-07,a few days or more,0%,,f,Barra da Tijuca,1.0,t,f
1762102,Hilda,2012-02-16,within a day,100%,67%,f,Barra da Tijuca,2.0,t,t
