anfitriao_id,anf_data_cadastro,id_anuncio,nome_anuncio,bairro,tipo_propriedade,tipo_acomodacao,numero_hospedes,quartos,camas,preco,min_noites,max_noites,disponivel,numero_avaliaçoes,pontuacao_avaliacoes,confirmacao_instantanea
400957639,2021-05-10,51119161,Apartamento aconchegante bem em frente ao Metrô,Flamengo,Entire rental unit,Entire home/apt,6,3.0,3.0,78.0,5,365,t,1,5.0,t
142305219,2017-07-24,51120473,Casa de Vila em São Cristóvão MARIA FLOR 11,São Cristóvão,Entire residential home,Entire home/apt,6,1.0,5.0,56.0,2,365,t,2,4.5,f
23499961,2014-11-08,51129856,Apto recém reformado no coração de Ipanema,Ipanema,Entire rental unit,Entire home/apt,5,2.0,2.0,205.0,2,180,t,9,5.0,f
155921133,2017-10-23,51138868,Apartamento aconchegante,Copacabana,Entire rental unit,Entire home/apt,4,2.0,2.0,600.0,5,30,t,0,,t
352008051,2020-06-26,51141620,Cobertura Alta Padrão Praia da Barra,Barra da Tijuca,Entire condominium (condo),Entire home/apt,8,3.0,4.0,3200.0,3,1125,t,0,,f
319227148,2019-12-20,51145358,Apto com churrasqueira privativa no Recreio/RJ,Recreio dos Bandeirantes,Entire rental unit,Entire home/apt,9,3.0,7.0,1080.0,1,1125,t,0,,t
46543256,2015-10-14,51147878,Lindo Loft entre Copacabana e Ipanema,Copacabana,Entire loft,Entire home/apt,2,1.0,0.0,206.0,3,30,t,0,,f
413945214,2021-07-19,51149421,Apartamento em Copacabana 50m da Praia,Copacabana,Entire rental unit,Entire home/apt,2,1.0,0.0,226.0,5,90,t,0,,f
36744189,2015-06-25,51150048,Nascimento Silva Top View,Ipanema,Entire condominium (condo),Entire home/apt,4,2.0,2.0,300.0,2,365,t,3,5.0,t
8975746,2013-09-21,51151177,3 quartos moderno #335,Copacabana,Entire rental unit,Entire home/apt,8,3.0,3.0,925.0,3,365,t,0,,f
226403228,2018-11-18,51151258,Quarto em apartamento aconchegante em Copacabana 😍,Copacabana,Private room in rental unit,Private room,2,1.0,2.0,97.0,2,4,t,2,5.0,t
75941109,2016-06-05,51152480,Apartamento confortável de 2 quartos em Copacabana,Copacabana,Entire rental unit,Entire home/apt,5,2.0,3.0,111.0,1,1125,t,0,,t
159725838,2017-11-22,51152870,Lindo apartamento á 40 metros da praia,Copacabana,Entire condominium (condo),Entire home/apt,4,1.0,0.0,170.0,1,365,t,4,4.75,t
459544,2011-03-23,51154644,Lindo Studio Copacabana posto 4,Copacabana,Entire rental unit,Entire home/apt,3,,2.0,250.0,30,31,t,0,,f
102322330,2016-11-03,51157422,"Suíte com hidromassagem, little kitchen e piscina",Campo Grande,Entire residential home,Entire home/apt,2,1.0,0.0,193.0,1,10,t,1,5.0,t
6786750,2013-06-07,51159561,Ipanema Best location Posto 9,Ipanema,Entire condominium (condo),Entire home/apt,6,2.0,3.0,320.0,3,1125,t,2,5.0,f
382708143,2021-01-02,51160422,Copacabana - 3 Min a pé da Praia - Ipanema,Copacabana,Entire rental unit,Entire home/apt,4,1.0,1.0,160.0,2,365,t,5,5.0,t
320676099,2019-12-24,51164016,Linda suíte próxima à praia da Macumba.,Recreio dos Bandeirantes,Private room in guest suite,Private room,2,1.0,1.0,80.0,1,365,t,5,4.8,f
112117992,2017-01-18,51165892,Suíte acolhedora na melhor localização de Ipanema,Ipanema,Private room in rental unit,Private room,2,1.0,1.0,120.0,1,15,t,1,5.0,f
157749807,2017-11-07,51167272,Apartamento pé na areia em condomínio encantador,Recreio dos Bandeirantes,Entire condominium (condo),Entire home/apt,6,2.0,5.0,280.0,2,1125,t,5,4.8,t
163210700,2017-12-18,51167783,506 Ipanema 2 suítes serviços piscina garagem mar,Ipanema,Entire serviced apartment,Entire home/apt,4,2.0,2.0,459.0,5,30,t,0,,t
232403456,2018-12-25,51169417,Quarto com mobília,Rio Comprido,Private room in residential home,Private room,2,1.0,1.0,80.0,1,1125,t,0,,f
